klucz,short_name,nationality,club_name,league_name,position
00008673,O. Custodio,Switzerland,FC Lugano,Swiss Super League,CDM
00007886,O. Darfalou,Algeria,Vitesse,Holland Eredivisie,LS
00006606,O. De Wolf,Belgium,KAS Eupen,Belgian Jupiler Pro League,GK
00000143,O. Dembele,France,FC Barcelona,Spain Primera Division,RW
00004964,O. Deschacht,Belgium,SV Zulte-Waregem,Belgian Jupiler Pro League,LCB
00001643,O. Duda,Slovakia,1. FC Köln,German 1. Bundesliga,CAM
00001532,O. Edouard,France,Celtic,Scottish Premiership,ST
00010899,O. Edvardsen,Norway,Stabak Fotball,Norwegian Eliteserien,RW
00002514,O. Ejaria,England,Reading,English League Championship,LM
00003045,O. El Hajjam,Morocco,ESTAC Troyes,French Ligue 2,RB
00002846,O. El Kaddouri,Morocco,PAOK,Greek Super League,RCM
00001413,O. Elabdellaoui,Norway,Galatasaray SK,Turkish Süper Lig,RB
00003797,O. Fernandez,Colombia,Puebla FC,Mexican Liga MX,RW
00015783,O. Finney,England,Crewe Alexandra,English League One,LCM
00012764,O. Gaona Lugo,Paraguay,Sportivo Luqueno,Paraguayan Primera División,LM
00016609,O. Gastrell,Australia,Macarthur FC,Australian Hyundai A-League,LCB
00010675,O. Gnjatic,Bosnia Herzegovina,FC Erzgebirge Aue,German 2. Bundesliga,RDM
00004273,O. Gonzalez,United States,Toronto FC,USA Major League Soccer,RCB
00004713,O. Govea,Mexico,SV Zulte-Waregem,Belgian Jupiler Pro League,LCM
00003790,O. Haddadi,Tunisia,Kasimpaºa SK,Turkish Süper Lig,LB
00010477,O. Halvorsen,Norway,Sarpsborg 08 FF,Norwegian Eliteserien,RM
00008215,O. Hawsawi,Saudi Arabia,Al Nassr,Saudi Abdul L. Jameel League,LCB
00011137,O. Haydary,Afghanistan,Lechia Gdañsk,Polish T-Mobile Ekstraklasa,RM
00002920,O. Hernandez,Germany,Norwich City,English League Championship,LM
00004868,O. Husing,Germany,1. FC Heidenheim 1846,German 2. Bundesliga,LCB
00000960,O. Idrissi,Morocco,AZ Alkmaar,Holland Eredivisie,LW
00016504,O. Ilyas,Saudi Arabia,Damac FC,Saudi Abdul L. Jameel League,LB
00006833,O. Jansson,Sweden,Örebro SK,Swedish Allsvenskan,GK
00000905,O. Kabak,Turkey,FC Schalke 04,German 1. Bundesliga,RCB
00015099,O. Kakay,Sierra Leone,Queens Park Rangers,English League Championship,RB
00002810,O. Kamara,Norway,DC United,USA Major League Soccer,ST
00007289,O. Kante,Guinea,Paris FC,French Ligue 2,LCB
00005513,O. Kemen,France,Chamois Niortais Football Club,French Ligue 2,LDM
00003932,O. Kiomourtzoglou,Germany,Heracles Almelo,Holland Eredivisie,RDM
00004013,O. Kiteishvili,Georgia,SK Sturm Graz,Austrian Football Bundesliga,CAM
00001521,O. Kokcu,Turkey,Feyenoord,Holland Eredivisie,LCM
00000733,O. Kolar,Czech Republic,SK Slavia Praha,Czech Republic Gambrinus Liga,GK
00002300,O. Kudela,Czech Republic,SK Slavia Praha,Czech Republic Gambrinus Liga,RCB
00004913,O. Lewicki,Sweden,Malmö FF,Swedish Allsvenskan,LCM
00015385,O. Malik,Australia,Perth Glory,Australian Hyundai A-League,CB
00003137,O. Mangala,Belgium,VfB Stuttgart,German 1. Bundesliga,LCM
00007207,O. Marciano,Israel,Hibernian,Scottish Premiership,GK
00018812,O. Maritu,DR Congo,Shijiazhuang Ever Bright F.C.,Chinese Super League,ST
00004272,O. Martinez,Paraguay,Puebla FC,Mexican Liga MX,LCM
00013263,O. Mbaizo,Cameroon,Philadelphia Union,USA Major League Soccer,RB
00001640,O. McBurnie,Scotland,Sheffield United,English Premier League,RS
00010203,O. Mfulu,DR Congo,Elche CF,Spain Primera Division,LDM
00013075,O. Mora,Peru,Alianza Lima,Peruvian Primera División,RM
00001432,O. Murillo,Colombia,Pachuca,Mexican Liga MX,LCB
00013815,O. Muzayil,Saudi Arabia,Al Fayha,Saudi Abdul L. Jameel League,RB
00001747,O. Nguette,Senegal,FC Metz,French Ligue 1,LW
00011471,O. Norburn,Grenada,Shrewsbury,English League One,RCM
00001062,O. Norwood,Northern Ireland,Sheffield United,English Premier League,CM
00003493,O. Nyland,Norway,Aston Villa,English Premier League,GK
00005529,O. Okwonkwo,Nigeria,Montreal Impact,USA Major League Soccer,LM
00001469,O. Opazo,Chile,Colo-Colo,Chilian Campeonato Nacional,LB
00010262,O. Osawe,Nigeria,KFC Uerdingen 05,German 3. Bundesliga,ST
00001916,O. Ozyakup,Turkey,Beºiktaº JK,Turkish Süper Lig,RCM
00012823,O. Palmer,England,AFC Wimbledon,English League One,LS
00005720,O. Popescu,Romania,FCSB (Steaua),Romanian Liga I,CDM
00004332,O. Rashid,Iraq,Santa Clara,Portuguese Liga ZON SAGRES,LCM
00008764,O. Rathbone,England,Rochdale,English League One,CAM
00009694,O. Reabciuk,Moldova,FC Paços de Ferreira,Portuguese Liga ZON SAGRES,LB
00004592,O. Richards,England,Reading,English League Championship,LB
00004442,O. Rivero,Uruguay,Santos Laguna,Mexican Liga MX,RS
00001477,O. Romero,Paraguay,San Lorenzo de Almagro,Argentina Primera División,RM
00002444,O. Sahiner,Turkey,Atiker Konyaspor,Turkish Süper Lig,RM
00010750,O. Sahraoui,Norway,Valerenga Fotball,Norwegian Eliteserien,LW
00007222,O. Salinas,Chile,Oriente Petrolero,Liga de Fútbol Profesional Boliviano,LM
00012886,O. Sangante,Senegal,La Berrichonne de Châteauroux,French Ligue 2,CDM
00002170,O. Selnaes,Norway,Shenzhen FC,Chinese Super League,LCM
00006019,O. Sismanoglu,Germany,BB Erzurumspor,Turkish Süper Lig,ST
00006345,O. Skipp,England,Norwich City,English League Championship,RDM
00010161,O. Takeuchi,Peru,Club Atlético Grau,Peruvian Primera División,RM
00002227,O. Tannane,Morocco,Vitesse,Holland Eredivisie,CAM
00006830,O. Thioune,Senegal,FC Sochaux-Montbéliard,French Ligue 2,LDM
00014476,O. Threlkeld,England,Salford City,English League Two,RB
00001822,O. Toivonen,Sweden,Malmö FF,Swedish Allsvenskan,CF
00009837,O. Traore,Germany,KFC Uerdingen 05,German 3. Bundesliga,RB
00004196,O. Trejo,Argentina,Rayo Vallecano,Spanish Segunda División,RCM
00003221,O. Tufan,Turkey,Fenerbahçe SK,Turkish Süper Lig,RDM
00010502,O. Turton,England,Blackpool,English League One,RB
00004992,O. Ustari,Argentina,Pachuca,Mexican Liga MX,GK
00017185,O. Uzun,Turkey,Kayserispor,Turkish Süper Lig,ST
00011084,O. Valceanu,Romania,Academica Clinceni,Romanian Liga I,GK
00009393,O. Viera,Ivory Coast,FC Hermannstadt,Romanian Liga I,RCB
00000284,O. Vlachodimos,Greece,SL Benfica,Portuguese Liga ZON SAGRES,GK
00004356,O. Vranjes,Bosnia Herzegovina,RSC Anderlecht,Belgian Jupiler Pro League,LCB
00001236,O. Watkins,England,Aston Villa,English Premier League,ST
00000911,O. Wijndal,Netherlands,AZ Alkmaar,Holland Eredivisie,LB
00012594,O. Yilmaz,Turkey,Denizlispor,Turkish Süper Lig,RCB
00000936,O. Yokuslu,Turkey,RC Celta,Spain Primera Division,CDM
00008208,Oh Ban Suk,Korea Republic,Incheon United FC,Korean K League Classic,RCB
00010973,Oh Se Hun,Korea Republic,Sangju Sangmu FC,Korean K League Classic,ST
00001085,Oier,Spain,CA Osasuna,Spain Primera Division,RDM
00009096,Olaetxea,Spain,UD Logronés,Spanish Segunda División,RCM
00000583,Omar Mascarell,Spain,FC Schalke 04,German 1. Bundesliga,CDM
00001734,Oriol Romeu,Spain,Southampton,English Premier League,LCM
00005862,Oriol Rosell,Spain,Orlando City SC,USA Major League Soccer,LDM
00000188,Oscar,Brazil,Shanghai SIPG FC,Chinese Super League,LCM
00001459,Oscar Plano,Spain,Real Valladolid CF,Spain Primera Division,RS
00010357,Oscar Rubio,Spain,CE Sabadell FC,Spanish Segunda División,RB
00009255,Oscar Sielva,Spain,SD Ponferradina,Spanish Segunda División,RDM
00001903,Osmar,Spain,FC Seoul,Korean K League Classic,RDM
00003008,Osvaldo Lodeiro,Brazil,Coritiba,Campeonato Brasileiro Série A,LCB
00000366,Oswaldinato,Brazil,Flamengo,Campeonato Brasileiro Série A,ST
00000404,Otavio,Brazil,FC Porto,Portuguese Liga ZON SAGRES,RM
00000993,Otavio,Brazil,FC Girondins de Bordeaux,French Ligue 1,LDM
00002453,Otavio Cairinho,Brazil,Internacional,Campeonato Brasileiro Série A,RCB
00000102,Oyarzabal,Spain,Real Sociedad,Spain Primera Division,LW
00009463,Ozkoidi,Spain,CE Sabadell FC,Spanish Segunda División,LB
00011228,P. Adorno,Paraguay,Club Libertad,Paraguayan Primera División,LCB
00013702,P. Amond,Republic of Ireland,Newport County,English League Two,LS
00002639,P. Aquino,Peru,Club León,Mexican Liga MX,CDM
00000042,P. Aubameyang,Gabon,Arsenal,English Premier League,LW
00004126,P. Bamford,England,Leeds United,English Premier League,ST
00012582,P. Banggaard,Denmark,SonderjyskE,Danish Superliga,RCB
00002774,P. Bardsley,Scotland,Burnley,English Premier League,RB
00010313,P. Bardy,France,Rodez Aveyron Football,French Ligue 2,RCB
00005002,P. Barrera,Mexico,Atlético de San Luis,Mexican Liga MX,RM
00004455,P. Bartolomei,Italy,Spezia,Italian Serie A,RCM
00002685,P. Bauer,Germany,Preston North End,English League Championship,RCB
00004213,P. Baysse,France,FC Girondins de Bordeaux,French Ligue 1,RCB
00012620,P. Becker,Argentina,Club Atlético Aldosivi,Argentina Primera División,RCM
00006974,P. Bengtsson,Sweden,FC Kobenhavn,Danish Superliga,LB
00004583,P. Berg,Norway,FK Bodo/Glimt,Norwegian Eliteserien,CM
00000709,P. Bernardoni,France,Angers SCO,French Ligue 1,GK
00008940,P. Bijen,Netherlands,ADO Den Haag,Holland Eredivisie,RCB
00013163,P. Bizoza,Burundi,Aalesunds FK,Norwegian Eliteserien,RCM
00007596,P. Bochniewicz,Poland,SC Heerenveen,Holland Eredivisie,LCB
00010122,P. Bourdin,France,Beerschot AC,Belgian Jupiler Pro League,LCB
00005697,P. Bratveit,Norway,Djurgardens IF,Swedish Allsvenskan,GK
00010515,P. Breier,Germany,FC Hansa Rostock,German 3. Bundesliga,ST
00002539,P. Bucha,Czech Republic,Viktoria Plzeò,Czech Republic Gambrinus Liga,RCM
00012690,P. Caddis,Scotland,Swindon Town,English League One,RB
00001960,P. Capelle,France,Angers SCO,French Ligue 1,LM
00005822,P. Carlgren,Sweden,Randers FC,Danish Superliga,GK
00016965,P. Caro,Colombia,Llaneros de Guanare,Venezuelan Primera División,CAM
00009144,P. Celeban,Poland,Œl¹sk Wroc³aw,Polish T-Mobile Ekstraklasa,RB
00005575,P. Chato,Germany,SV Wehen Wiesbaden,German 3. Bundesliga,LDM
00015366,P. Cherrie,Scotland,Derry City,Rep. Ireland Airtricity League,GK
00012295,P. Choroba,Germany,SC Verl,German 3. Bundesliga,RB
00006718,P. Ciss,Senegal,CF Fuenlabrada,Spanish Segunda División,LDM
00012664,P. Clarke,England,Tranmere Rovers,English League Two,RCB
00007623,P. Clement,Netherlands,PEC Zwolle,Holland Eredivisie,LW
00008088,P. Coutts,Scotland,Fleetwood Town,English League One,CDM
00007506,P. Dahlberg,Sweden,BK Häcken,Swedish Allsvenskan,GK
00001190,P. Daka,Zambia,FC Red Bull Salzburg,Austrian Football Bundesliga,LS
00003814,P. De la Vega,Argentina,Club Atlético Lanús,Argentina Primera División,RW
00013416,P. Deligiannidis,Greece,Sepsi OSK,Romanian Liga I,RM
00013521,P. Digby,England,Cambridge United,English League Two,RCM
00000809,P. Diop,Senegal,SD Eibar,Spain Primera Division,LDM
00003568,P. Djilobodji,Senegal,Gaziºehir Gaziantep F.K.,Turkish Süper Lig,CB
00009996,P. Dorn,Germany,FC Vaduz,Swiss Super League,RWB
00000023,P. Dybala,Argentina,Juventus,Italian Serie A,RS
00005665,P. Erras,Germany,SV Werder Bremen,German 1. Bundesliga,CDM
00005236,P. Farago,Italy,Cagliari,Italian Serie A,RB
00012812,P. Farman,England,Carlisle United,English League Two,GK
00005184,P. Filipovic,Croatia,LASK Linz,Austrian Football Bundesliga,LCB
00008012,P. Flo,Norway,FC Lausanne-Sport,Swiss Super League,LB
00007180,P. Forsell,Finland,Stal Mielec,Polish T-Mobile Ekstraklasa,CAM
00004029,P. Frankowski,Poland,Chicago Fire,USA Major League Soccer,RM
00009375,P. Frick,Sweden,IF Elfsborg,Swedish Allsvenskan,ST
00014393,P. Fuentes,Peru,Melgar FBC,Peruvian Primera División,LCB
00003000,P. Gallese,Peru,Orlando City SC,USA Major League Soccer,GK
00012930,P. Gavilan,Paraguay,River Plate Asunción,Paraguayan Primera División,GK
00004802,P. Gerkens,Belgium,Royal Antwerp FC,Belgian Jupiler Pro League,CM
00005483,P. Ghiglione,Italy,Genoa,Italian Serie A,RM
00006959,P. Gibaud,France,Le Havre AC,French Ligue 2,RB
00000546,P. Gollini,Italy,Atalanta,Italian Serie A,GK
00002975,P. Goltz,Argentina,Gimnasia y Esgrima La Plata,Argentina Primera División,LCB
00007782,P. Golubovic,Serbia,KV Kortrijk,Belgian Jupiler Pro League,LCB
00004391,P. Gonzalez,Mexico,Puebla FC,Mexican Liga MX,RCM
00000090,P. Gulacsi,Hungary,RB Leipzig,German 1. Bundesliga,GK
00009242,P. Hanlon,Scotland,Hibernian,Scottish Premiership,LCB
00005661,P. Hatzidiakos,Greece,AZ Alkmaar,Holland Eredivisie,RCB
00005238,P. Heise,Germany,Karlsruher SC,German 2. Bundesliga,LB
00006982,P. Helland,Norway,Rosenborg BK,Norwegian Eliteserien,RW
00001927,P. Hernandez,Chile,Independiente,Argentina Primera División,RCM
00000838,P. Herrmann,Germany,Borussia Mönchengladbach,German 1. Bundesliga,RM
00003449,P. Hetemaj,Finland,Benevento,Italian Serie A,LCM
00008169,P. Hoban,Republic of Ireland,Dundalk,Rep. Ireland Airtricity League,ST
00013512,P. Hobsch,Germany,VfB Lübeck,German 3. Bundesliga,RS
00004377,P. Hofmann,Germany,Karlsruher SC,German 2. Bundesliga,ST
00000395,P. Hojbjerg,Denmark,Tottenham Hotspur,English Premier League,RDM
00008192,P. Hosiner,Austria,SG Dynamo Dresden,German 3. Bundesliga,ST
00002484,P. Hrosovsky,Slovakia,KRC Genk,Belgian Jupiler Pro League,LCM
00005232,P. Hurtado,Peru,Atiker Konyaspor,Turkish Süper Lig,CAM
00008730,P. Iacob,Romania,Chindia Târgoviºte,Romanian Liga I,LCM
00007840,P. Izzo,Australia,Adelaide United,Australian Hyundai A-League,GK
00001730,P. Jansson,Sweden,Brentford,English League Championship,RCB
00009726,P. Jensen,Denmark,FC Nordsjalland,Danish Superliga,GK
00014581,P. Jimenez,Costa Rica,Nacional Potosí,Liga de Fútbol Profesional Boliviano,RW
00011244,P. Johansson,Sweden,Kalmar FF,Swedish Allsvenskan,RM
00000482,P. Kaderabek,Czech Republic,TSG 1899 Hoffenheim,German 1. Bundesliga,RWB
00013083,P. Kalambayi,England,AFC Wimbledon,English League One,LCB
00011560,P. Kanstrup,Denmark,SonderjyskE,Danish Superliga,CB
00004205,P. Karlsson,Sweden,AIK,Swedish Allsvenskan,CB
00008572,P. Karlsson Lagemyr,Sweden,IFK Göteborg,Swedish Allsvenskan,CAM
00001777,P. Kieszek,Poland,Rio Ave FC,Portuguese Liga ZON SAGRES,GK
00000294,P. Kimpembe,France,Paris Saint-Germain,French Ligue 1,LCB
00010236,P. Kitchen,United States,LA Galaxy,USA Major League Soccer,RDM
00004128,P. Kuhn,Germany,VfL Osnabrück,German 2. Bundesliga,GK
00012542,P. Kun,Poland,Raków Czêstochowa,Polish T-Mobile Ekstraklasa,LM
00012706,P. Larsen,Norway,Aalesunds FK,Norwegian Eliteserien,LCM
00000782,P. LeesMelou,France,OGC Nice,French Ligue 1,LCM
00003230,P. Lienhart,Austria,SC Freiburg,German 1. Bundesliga,RCB
00013610,P. Lima,Uruguay,Sportivo Luqueno,Paraguayan Primera División,RCB
00014191,P. Lopez,Mexico,Atlético de San Luis,Mexican Liga MX,LDM
00009250,P. Madden,Republic of Ireland,Fleetwood Town,English League One,LW
00002693,P. Mainka,Germany,1. FC Heidenheim 1846,German 2. Bundesliga,RCB
00009027,P. Mako,South Africa,Orlando Pirates,South African Premier Division,LM
00002996,P. Martinez,France,Nîmes Olympique,French Ligue 1,LCB
00008479,P. Maslov,Russia,Spartak Moscow,Russian Premier League,RCB
00000587,P. Max,Germany,PSV,Holland Eredivisie,LB
00009046,P. McEleney,Republic of Ireland,Dundalk,Rep. Ireland Airtricity League,CAM
00010557,P. McGinn,Scotland,Hibernian,Scottish Premiership,RB
00004637,P. McNair,Northern Ireland,Middlesbrough,English League Championship,LCB
00010331,P. McShane,Republic of Ireland,Rochdale,English League One,LCB
00002632,P. Michorl,Austria,LASK Linz,Austrian Football Bundesliga,LCM
00015405,P. Miguez,Uruguay,Melgar FBC,Peruvian Primera División,CDM
00005087,P. Mortensen,Denmark,Aarhus GF,Danish Superliga,ST
00002790,P. Mouche,Argentina,Colo-Colo,Chilian Campeonato Nacional,LW
00006802,P. Mpanzu,England,Luton Town,English League Championship,RCM
00014435,P. Mullin,England,Cambridge United,English League Two,LS
00002591,P. Nardi,France,FC Lorient,French Ligue 1,GK
00007542,P. Ng,England,Crewe Alexandra,English League One,RB
00004344,P. Ntep,Cameroon,En Avant de Guingamp,French Ligue 2,LM
00011533,P. Nymann,Denmark,AC Horsens,Danish Superliga,RB
00013238,P. OConnor,Republic of Ireland,Bradford City,English League Two,LCB
00007775,P. Olsen,Denmark,Aarhus GF,Danish Superliga,LCM
00015630,P. Olszewski,Poland,Jagiellonia Bia³ystok,Polish T-Mobile Ekstraklasa,RB
00004230,P. Oniangue,Congo,Stade Malherbe Caen,French Ligue 2,CDM
00003273,P. Onuachu,Nigeria,KRC Genk,Belgian Jupiler Pro League,ST
00006915,P. Ortiz,Ecuador,Emelec,Ecuadorian Serie A,GK
00006843,P. Parzyszek,Poland,Piast Gliwice,Polish T-Mobile Ekstraklasa,ST
00012721,P. Pawlett,Scotland,Dundee United,Scottish Premiership,LCM
00007164,P. Paye,France,FC Sochaux-Montbéliard,French Ligue 2,RB
00001879,P. Pekarik,Slovakia,Hertha BSC,German 1. Bundesliga,RB
00004679,P. Pentz,Austria,FK Austria Wien,Austrian Football Bundesliga,GK
00002981,P. Perez,Argentina,Newell's Old Boys,Argentina Primera División,LCM
00006336,P. Perlaza,Ecuador,LDU Quito,Ecuadorian Serie A,RB
00000812,P. Piatti,Argentina,Toronto FC,USA Major League Soccer,RM
00000050,P. Pogba,France,Manchester United,English Premier League,RDM
00011948,P. Pokorny,Slovakia,SKN St. Pölten,Austrian Football Bundesliga,CDM
00009145,P. Quasten,Czech Republic,RKC Waalwijk,Holland Eredivisie,LB
00000539,P. Rajkovic,Serbia,Stade de Reims,French Ligue 1,GK
00013873,P. Ramirez,Venezuela,Zamora FC,Venezuelan Primera División,RS
00010266,P. Retre,Australia,Sydney FC,Australian Hyundai A-League,LDM
00005237,P. Riese,Germany,FC Erzgebirge Aue,German 2. Bundesliga,LDM
00007141,P. Rodriguez,Argentina,Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,RW
00001619,P. Rosario,Netherlands,PSV,Holland Eredivisie,RDM
00010703,P. Ruffaut,France,Rodez Aveyron Football,French Ligue 2,LCM
00015755,P. Sander,Germany,SC Verl,German 3. Bundesliga,CM
00004257,P. Schiattarella,Italy,Benevento,Italian Serie A,CM
00000714,P. Schick,Czech Republic,Bayer 04 Leverkusen,German 1. Bundesliga,ST
00012881,P. Schikowski,Poland,SC Verl,German 3. Bundesliga,LW
00007959,P. Schmidt,Germany,1. FC Heidenheim 1846,German 2. Bundesliga,RS
00008120,P. Schurpf,Switzerland,FC Luzern,Swiss Super League,LW
00001540,P. Schuurs,Netherlands,Ajax,Holland Eredivisie,RCB
00008411,P. Schwarz,Czech Republic,Raków Czêstochowa,Polish T-Mobile Ekstraklasa,RCM
00003991,P. Seguin,Germany,SpVgg Greuther Fürth,German 2. Bundesliga,RCM
00001293,P. Sevcik,Czech Republic,SK Slavia Praha,Czech Republic Gambrinus Liga,RDM
00010005,P. Sisniega,Mexico,Los Angeles FC,USA Major League Soccer,GK
00001353,P. Skjelbred,Norway,Rosenborg BK,Norwegian Eliteserien,CM
00010017,P. Sokolowski,Poland,Piast Gliwice,Polish T-Mobile Ekstraklasa,RDM
00008586,P. Sontheimer,Germany,FC Würzburger Kickers,German 2. Bundesliga,LDM
00005058,P. Steinbors,Latvia,Jagiellonia Bia³ystok,Polish T-Mobile Ekstraklasa,GK
00007128,P. Steinhart,Germany,TSV 1860 München,German 3. Bundesliga,LB
00003257,P. Stojanovic,Slovenia,Dinamo Zagreb,Croatian Prva HNL,RB
00016930,P. Sturm,Austria,TSV Hartberg,Austrian Football Bundesliga,RM
00012574,P. Sweeney,Republic of Ireland,Exeter City,English League Two,RCB
00013123,P. Szysz,Poland,Zag³êbie Lubin,Polish T-Mobile Ekstraklasa,LM
00005079,P. Tachtsidis,Greece,Lecce,Italian Serie B,CM
00001721,P. Tau,South Africa,RSC Anderlecht,Belgian Jupiler Pro League,CAM
00004060,P. Tsintotas,Greece,AEK Athens,Greek Super League,GK
00006957,P. Tyton,Poland,FC Cincinnati,USA Major League Soccer,GK
00001063,P. van Aanholt,Netherlands,Crystal Palace,English Premier League,LB
00006647,P. van Amersfoort,Netherlands,Cracovia,Polish T-Mobile Ekstraklasa,RDM
00010550,P. van Ooijen,Netherlands,KFC Uerdingen 05,German 3. Bundesliga,LM
00006201,P. Velazquez,Paraguay,Club Atlético Banfield,Argentina Primera División,ST
00007155,P. Vlachodimos,Greece,SG Dynamo Dresden,German 3. Bundesliga,LW
00010096,P. Weihrauch,Germany,SG Dynamo Dresden,German 3. Bundesliga,LCM
00003310,P. Wiesinger,Austria,LASK Linz,Austrian Football Bundesliga,RCB
00010822,P. Wimmer,Austria,FK Austria Wien,Austrian Football Bundesliga,RM
00009662,P. Wisniewski,Poland,Górnik Zabrze,Polish T-Mobile Ekstraklasa,RCB
00011708,P. Ziegler,Germany,Western Sydney Wanderers,Australian Hyundai A-League,RCB
00000403,P. Zielinski,Poland,Napoli,Italian Serie A,LCM
00007759,P. Ziereis,Germany,FC St. Pauli,German 2. Bundesliga,CB
00002664,P. Zinckernagel,Denmark,FK Bodo/Glimt,Norwegian Eliteserien,RW
00000549,Pablo Fornals,Spain,West Ham United,English Premier League,LM
00009717,Pablo Garcia,Spain,Real Sporting de Gijón,Spanish Segunda División,LB
00001833,Pablo Hernandez,Spain,Leeds United,English Premier League,RCM
00002088,Pablo Maffeo,Spain,SD Huesca,Spain Primera Division,RB
00001723,Pablo Santos,Brazil,Hatayspor,Turkish Süper Lig,LCB
00000231,Pacheco,Spain,Deportivo Alavés,Spain Primera Division,GK
00000310,Paco Alcacer,Spain,Villarreal CF,Spain Primera Division,LS
00002463,Padilhisco,Brazil,Bahia,Campeonato Brasileiro Série A,LB
00005495,Paik Seung Ho,Korea Republic,SV Darmstadt 98,German 2. Bundesliga,RDM
00000711,Palhinha,Portugal,Sporting CP,Portuguese Liga ZON SAGRES,RCM
00018816,Pan Ximing,China PR,Hebei China Fortune FC,Chinese Super League,CB
00003758,Paolito Serra,Brazil,Botafogo,Campeonato Brasileiro Série A,RCB
00000094,Parejo,Spain,Villarreal CF,Spain Primera Division,RCM
00005955,Park Chu Young,Korea Republic,FC Seoul,Korean K League Classic,ST
00009441,Park Dae Han,Korea Republic,Incheon United FC,Korean K League Classic,LB
00006324,Park Il Gyu,Korea Republic,Yokohama F. Marinos,Japanese J. League Division 1,GK
00006625,Park Ji Soo,Korea Republic,Guangzhou Evergrande Taobao FC,Chinese Super League,LCB
00009311,Park Jong Woo,Korea Republic,Busan IPark,Korean K League Classic,CM
00016052,Park Jung Soo,Korea Republic,GwangJu FC,Korean K League Classic,CDM
00006820,Park Yong Woo,Korea Republic,Sangju Sangmu FC,Korean K League Classic,CDM
00002026,Pascoal Muscato,Brazil,Santos,Campeonato Brasileiro Série A,LDM
00003886,Patrick William,Brazil,Famalicao,Portuguese Liga ZON SAGRES,LCB
00000146,Pau Lopez,Spain,Roma,Italian Serie A,GK
00000697,Pau Torres,Spain,Villarreal CF,Spain Primera Division,LCB
00000187,Paulinho,Brazil,Guangzhou Evergrande Taobao FC,Chinese Super League,LDM
00000589,Paulinho,Portugal,SC Braga,Portuguese Liga ZON SAGRES,ST
00003662,Paulinho,Portugal,AEK Athens,Greek Super League,RWB
00005735,Paulinho,Brazil,Hebei China Fortune FC,Chinese Super League,RM
00008851,Paulinho,Brazil,FC Midtjylland,Danish Superliga,LB
00007274,Paulo Daineiro,Brazil,Ceará Sporting Club,Campeonato Brasileiro Série A,LAM
00007249,Paulo Mesqueira,Brazil,Oceânico FC,Campeonato Brasileiro Série A,LCM
00001328,Paulo Oliveira,Portugal,SD Eibar,Spain Primera Division,RCB
00002822,Paulo Vinicius,Brazil,CFR Cluj,Romanian Liga I,RCB
00007277,Paulo Vinicius,Hungary,Nacional de Montevideo,Uruguayan Primera División,LCB
00005346,Paulolettinho,Brazil,Fortaleza,Campeonato Brasileiro Série A,CAM
00012942,Pedro Capo,Spain,CE Sabadell FC,Spanish Segunda División,CAM
00007487,Pedro Chirivella,Spain,FC Nantes,French Ligue 1,RDM
00005441,Pedro Diaz,Spain,Real Sporting de Gijón,Spanish Segunda División,RDM
00003649,Pedro Henrique,Brazil,Kayserispor,Turkish Süper Lig,LM
00000604,Pedro Leon,Spain,SD Eibar,Spain Primera Division,RM
00014087,Pedro Lopez,Spain,CD Lugo,Spanish Segunda División,RCB
00001001,Pedro Mendes,Portugal,Montpellier HSC,French Ligue 1,RCB
00003080,Pedro Neto,Portugal,Wolverhampton Wanderers,English Premier League,LW
00001693,Pedro Nuno,Portugal,Moreirense FC,Portuguese Liga ZON SAGRES,LW
00001315,Pedro Obiang,Equatorial Guinea,Sassuolo,Italian Serie A,RDM
00007429,Pedro Pelagio,Portugal,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,LDM
00002196,Pedro Rebocho,Portugal,En Avant de Guingamp,French Ligue 2,LB
00002640,Pedro Sa,Portugal,Portimonense SC,Portuguese Liga ZON SAGRES,CDM
00002421,Pedro Santos,Portugal,Columbus Crew SC,USA Major League Soccer,RM
00009471,Pedro Sousenha,Brazil,Oceânico FC,Campeonato Brasileiro Série A,RM
00003707,Pedro Tiba,Portugal,Lech Poznañ,Polish T-Mobile Ekstraklasa,RDM
00015324,Pei Shuai,China PR,Shenzhen FC,Chinese Super League,RCM
00011744,Peng Xinli,China PR,Shanghai Greenland Shenhua FC,Chinese Super League,LCM
00006613,Pep Biel,Spain,FC Kobenhavn,Danish Superliga,RM
00000318,Pepe,Portugal,FC Porto,Portuguese Liga ZON SAGRES,LCB
00003726,Pere Milla,Spain,Elche CF,Spain Primera Division,CAM
00000670,Petros,Brazil,Al Nassr,Saudi Abdul L. Jameel League,RDM
00007069,Pichu Atienza,Spain,Real Zaragoza,Spanish Segunda División,LCB
00001488,Pierrino Faria,Brazil,Santos,Campeonato Brasileiro Série A,GK
00003761,Pietrson Mendes,Brazil,Bahia,Campeonato Brasileiro Série A,CAM
00003763,Pimentiscinho,Brazil,Goiás,Campeonato Brasileiro Série A,CAM
00005538,Pipa,Spain,Huddersfield Town,English League Championship,RB
00000053,Pique,Spain,FC Barcelona,Spain Primera Division,RCB
00004986,Pita,Spain,CD Lugo,Spanish Segunda División,LDM
00000135,Pizzi,Portugal,SL Benfica,Portuguese Liga ZON SAGRES,CAM
00010586,Platini,Cape Verde,Politehnica Iaºi,Romanian Liga I,RW
